Search Method,Expansions,Goal Tests,Plan Length, Execution Time,Optimality
astar_search with h_1,47,49,6,0.032,True
astar_search with h_ignore_preconditions,37,39,6,0.028,True
astar_search with h_pg_levelsum,11,13,6,0.661,True
